open-time,open,high,low,close,volume,close-time,quote-volume,count,taker-buy-volume,taker-buy-quote-volume,ignore,RSI,Stoch_%K,Stoch_%D,CCI,ADL,MFI,CMF,Bollinger_Mavg,Bollinger_Hband,Bollinger_Lband,Bollinger_Hband_Indicator,Bollinger_Lband_Indicator,ATR,MACD,MACD_Signal,MACD_Diff,Aroon_Up,Aroon_Down,Ichimoku_A,Ichimoku_B,Ichimoku_Base_Line,Ichimoku_Conversion_Line,Cumulative_Return
1643586300000,0.1395,0.1395,0.1392,0.1393,505257.0,1643586599999,70421.4724,244,316751.0,44151.5547,0,46.67733098599762,26.666666666667407,47.12418300653642,6.822612085770824,-704294864.9969643,67.04207713295744,0.1842237358142298,0.13951,0.14031969129914607,0.13870030870085392,0.0,0.0,0.0004478042192189874,0.0001388927869971357,0.00015698865431300655,-1.809586731587085e-05,72.0,8.0,0.139675,0.1392,0.13955,0.13979999999999998,-0.18299120234605692
1643586600000,0.1392,0.1394,0.139,0.1393,3114330.0,1643586899999,433111.0237,493,1061594.0,147655.921,0,46.67733098599762,26.666666666667407,34.44444444444491,-17.313308302048018,-702737699.9969642,56.45145254722276,0.2500026942789811,0.13952499999999998,0.1403069846545252,0.13874301534547476,0.0,0.0,0.0004451484292623761,9.97587510616349e-05,0.00014554267366273223,-4.578392260109733e-05,68.0,4.0,0.139625,0.1392,0.13955,0.1397,-0.18299120234605692
1643586900000,0.1393,0.1394,0.139,0.1391,2789192.0,1643587199999,387939.9296,316,529609.0,73687.1997,0,43.63371994772602,13.333333333333703,22.22222222222281,-36.92239663939675,-704132295.9969643,47.96533699416066,0.19822842479356914,0.139535,0.14028938716844402,0.13878061283155596,0.0,0.0,0.0004426401831922431,5.200691377815758e-05,0.0001268355216858173,-7.482860790765971e-05,64.0,0.0,0.1396,0.1392,0.13955,0.13965,-0.1841642228739162
1643587200000,0.1392,0.1393,0.139,0.139,826646.0,1643587499999,115056.4663,324,280041.0,38984.5238,0,42.17772497941255,6.666666666667777,15.555555555556266,-57.674418604650825,-704958941.9969643,46.7305485775377,0.18309583898326312,0.13953,0.14029707235637387,0.1387629276436261,0.0,0.0,0.00043471572857045154,6.024626290790369e-06,0.00010267334260681192,-9.664871631602155e-05,60.0,0.0,0.1396,0.1392,0.13955,0.13965,-0.18475073313784574
1643587500000,0.139,0.139,0.138,0.1384,4533652.0,1643587799999,627263.7343,1315,2058570.0,284912.7978,0,34.80043098712106,16.66666666666609,12.222222222222493,-182.8687967369149,-705865672.3969644,39.6692754426866,0.08789875343273514,0.13949,0.14039310575234173,0.13858689424765827,0.0,1.0,0.0004661204103165376,-7.793328699751134e-05,6.655201668594727e-05,-0.0001444853036834586,56.00000000000001,100.0,0.13915,0.1392,0.1392,0.1391,-0.18826979472142347
1643587800000,0.1383,0.1386,0.1382,0.1384,782333.0,1643588099999,108299.6544,327,324990.0,44997.6892,0,34.80043098712106,16.66666666666609,13.333333333333291,-181.5252416756162,-705865672.3969644,39.41293228507288,0.09608435112282157,0.13945000000000002,0.14046488915646613,0.1384351108435339,0.0,1.0,0.0004624470541878417,-0.00014282415026328765,2.4676783296100286e-05,-0.00016750093355938795,52.0,96.0,0.13915,0.1392,0.1392,0.1391,-0.18826979472142347
1643588100000,0.1384,0.1388,0.1383,0.1385,1584998.0,1643588399999,219580.4038,407,709058.0,98205.9159,0,36.863852414116145,20.833333333333478,18.05555555555519,-145.8590852904793,-706182671.9969645,39.80351278257161,0.09814028729387711,0.139415,0.14050729116993238,0.13832270883006764,0.0,0.0,0.0004645333289551839,-0.0001840597365796448,-1.7070520679048736e-05,-0.00016698921590059608,48.0,92.0,0.1391,0.1392,0.1392,0.139,-0.18768328445749383
1643588400000,0.1385,0.1388,0.1385,0.1387,662062.0,1643588699999,91781.5638,241,410633.0,56917.7474,0,40.82939655905516,29.166666666665943,22.222222222221813,-118.64061864062275,-705961984.6636312,39.336234300389904,0.10804996990015245,0.1394,0.14052249721599305,0.13827750278400694,0.0,0.0,0.00045539258845767337,-0.00019831485706589547,-5.3319387956418085e-05,-0.00014499546910947737,44.0,88.0,0.13905,0.1392,0.1392,0.13890000000000002,-0.18651026392963477
1643588700000,0.1387,0.1389,0.1386,0.1388,2048570.0,1643588999999,284373.7208,315,1438485.0,199681.9925,0,42.73362051733822,33.333333333333336,27.77777777777756,-97.23889555822167,-705279127.9969645,42.9093902394033,0.08897562462826601,0.13938,0.14052995652087896,0.13823004347912105,0.0,0.0,0.0004467596668766912,-0.00019924619240907493,-8.250474884694946e-05,-0.00011674144356212546,40.0,84.0,0.13897500000000002,0.1392,0.1392,0.13875,-0.18592375366570502
1643589000000,0.1389,0.1392,0.1386,0.1386,1477109.0,1643589299999,205265.104,447,557808.0,77550.9873,0,40.0071358076516,24.999999999999712,29.166666666666302,-86.34772462076866,-706756236.9969645,39.88550104818123,-0.04633926674243548,0.13934,0.14053899958294894,0.13814100041705105,0.0,0.0,0.0004552730187168745,-0.00021365967517189555,-0.00010873573411193869,-0.00010492394105995686,36.0,80.0,0.13895,0.1392,0.1392,0.1387,-0.1870967741935643
