open-time,open,high,low,close,volume,close-time,quote-volume,count,taker-buy-volume,taker-buy-quote-volume,ignore,RSI,Stoch_%K,Stoch_%D,CCI,ADL,MFI,CMF,Bollinger_Mavg,Bollinger_Hband,Bollinger_Lband,Bollinger_Hband_Indicator,Bollinger_Lband_Indicator,ATR,MACD,MACD_Signal,MACD_Diff,Aroon_Up,Aroon_Down,Ichimoku_A,Ichimoku_B,Ichimoku_Base_Line,Ichimoku_Conversion_Line,Cumulative_Return
1628717400000,0.27316,0.27695,0.27232,0.27442,71121871.6,1628719199999,19529424.397037,21264,41308082.8,11344146.122972,0,53.06168451559668,51.61656267725473,57.15135950826388,21.08175054467193,2030345143.700546,59.951597562759545,0.08981371866161868,0.275926,0.28455968611892063,0.2672923138810794,0.0,0.0,0.004673795486071236,0.0025018913422964473,0.0033798695609532046,-0.0008779782186567574,68.0,24.0,0.274615,0.26776999999999995,0.273615,0.275615,0.3130143540669883
1628719200000,0.27444,0.27459,0.2596,0.26363,147960813.1,1628720999999,39422829.826236,50165,62787566.2,16745735.186664,0,40.75677392218564,17.259100642398206,37.81958677113785,-91.12755401845871,1961941645.716356,53.39098408387704,0.06537713351586104,0.2758175,0.28499489587247073,0.26664010412752925,0.0,1.0,0.005246917959067278,0.0012845414095388752,0.002960803930670339,-0.001676262521131464,64.0,100.0,0.27122999999999997,0.26844,0.271275,0.271185,0.26138755980861483
1628721000000,0.26362,0.26631,0.26019,0.26476,97331218.9,1628722799999,25681325.253739,30511,49655162.6,13103482.466179,0,42.24199197233357,22.09850107066382,30.324721463438937,-115.19017985560347,2009971103.40884,48.32158695817459,0.09229424237645358,0.27569699999999997,0.28537503306462847,0.26601896693537147,0.0,1.0,0.005295422516896874,0.00040628101880818557,0.0024498993482979085,-0.002043618329489723,60.0,96.0,0.27122999999999997,0.26844,0.271275,0.271185,0.26679425837320836
1628722800000,0.26472,0.2685,0.26389,0.26582,68242668.5,1628724599999,18184069.056317,21649,36427484.4,9711863.93317,0,43.64523586492076,26.638115631691683,21.998572448251252,-85.70841853978212,1998868716.9934382,43.72331068820941,0.09757752663751582,0.2755205,0.2857671511114628,0.2652738488885372,0.0,0.0,0.005257343488180382,-0.00020188630747719483,0.001919542217142888,-0.002121428524620083,56.00000000000001,92.0,0.27122999999999997,0.26844,0.271275,0.271185,0.2718660287081367
1628724600000,0.26579,0.26755,0.26404,0.26445,47702740.5,1628726399999,12676884.535428,12027,24297545.2,6456209.890765,0,42.24083297866699,20.770877944325587,23.169164882227047,-93.33506421671343,1962310206.4677978,34.00614392157095,0.067246972537244,0.27519599999999994,0.28637131458170373,0.26402068541829615,0.0,0.0,0.005160268849948139,-0.0007853577305500514,0.0013785622276043003,-0.0021639199581543517,52.0,88.0,0.27122999999999997,0.26844,0.271275,0.271185,0.26531100478469183
1628726400000,0.26448,0.27406,0.26242,0.27133,105923121.8,1628728199999,28541592.6214,45285,48743556.2,13140105.319181,0,50.679499062610695,50.235546038544015,32.548179871520446,-44.96923090127249,2018547740.206973,41.59925090467091,0.08662514286355055,0.27488450000000003,0.28612598651202503,0.26364301348797503,0.0,0.0,0.005520253913839911,-0.0006847116063986025,0.0009659074608037197,-0.0016506190672023221,48.0,84.0,0.27122999999999997,0.26844,0.271275,0.271185,0.2982296650717733
1628728200000,0.27133,0.27457,0.26828,0.27402,53663956.2,1628729999999,14567034.055346,31292,27561734.7,7484388.304352,0,53.4924598372116,61.7558886509636,44.25410421127774,-7.794839016123996,2062826902.7948904,47.373658626278456,0.09520699734512414,0.27475449999999996,0.28597281087998716,0.26353618912001275,0.0,0.0,0.005563017585293247,-0.00038346792956889253,0.0006960323827291974,-0.00107950031229809,44.0,80.0,0.27122999999999997,0.26844,0.271275,0.271185,0.3111004784689022
1628730000000,0.27401,0.28,0.27171,0.27766,75882413.3,1628731799999,20978421.582366,36850,34420220.5,9517672.251918,0,57.00578920517448,77.3447537473235,63.11206281227705,44.13701649538203,2095870993.5081594,54.02619716245012,0.12382252663994772,0.2746415,0.2856937093266477,0.26358929067335224,0.0,0.0,0.005714516608332512,0.00014728957141818544,0.000586283820466995,-0.0004389942490488095,40.0,76.0,0.2705375,0.268445,0.271275,0.26980000000000004,0.328516746411486
1628731800000,0.27766,0.28822,0.27752,0.28457,256497495.9,1628733599999,73023894.606629,92771,127711294.6,36349247.795792,0,62.67356040562206,87.2466806429071,75.44910768039809,129.09259196383837,2177374870.710029,60.11194127987257,0.13630176520454243,0.2750655,0.28692836723351656,0.2632026327664835,0.0,0.0,0.005991487907869594,0.0011126717779303408,0.0006915614119596641,0.00042111036597067665,100.0,72.0,0.27391,0.27224,0.27391,0.27391,0.36157894736842366
1628733600000,0.28458,0.29465,0.28139,0.29216,203975146.4,1628735399999,58972524.941194,103906,107816944.2,31199185.713913,0,67.6355700388213,92.8958630527816,85.82909914767076,190.44959508517167,2304743966.6521096,63.77807212614374,0.17084842192270544,0.275791,0.2897813779791699,0.2618006220208301,1.0,0.0,0.006395294135210175,0.0024618154237397993,0.001045612214315691,0.0014162032094241083,100.0,68.0,0.277125,0.27568000000000004,0.277125,0.277125,0.39789473684210797
